round,date,config,local_2024,lb,local_delta,lb_delta,ratio,rule_ok,note
1,2026-07-31,RandomForest baseline,415.57,549.64,,,,yes,베이스라인
2,2026-08-05,다양성5+국면보정,680.39,,,,,no,실행 실패 (6-4 numpy PCG64)
3,2026-08-05,다양성5+국면보정 (numpy 수정),680.39,862.75,264.82,313.11,1.18,no,국면 보정 = 규칙 위반 (4-3)
4,2026-08-05,시드5+보정+ID,697.36,872.15,16.97,9.40,0.55,no,국면 보정 = 규칙 위반
5,2026-08-06,시드5+ID (보정 제거),645.54,814.50,,,,yes,규칙 준수 기준선
6,2026-08-06,상황Trackman10(시계포함)+n_iter900,666.59,796.24,21.05,-18.26,-0.87,yes,시계 컬럼 tmc_n/tmh_n + 변수 2개 동시 변경
7,2026-08-06,상황Trackman편차8+n_iter1100,667.48,825.48,21.94,10.98,0.50,yes,규칙 준수 최고 (재현 가능 아티팩트 보유)
8,unknown,UNKNOWN,,875.66,,,,yes,사용자 보고. 로컬 아티팩트/설정 미상 — 확인 필요
9,2026-08-11,CatBoost depth6 l2=100 border32 i1200 seeds3,748.77,864.92,81.29,39.44,0.49,yes,규칙 준수 최고. 보수 예상 866 -> 실제 864.92 (오차 -1.1). 직선 예상 931 은 -66 빗나감 — 델타 0.5배 법칙만 유효
10,2026-08-11,CatBoost + alpha 1.09 (퍼짐 보정),762.74,912.41,13.97,47.49,3.40,yes,규칙 준수 최고. 위반판 872.15 를 +40.26 앞선다. 환산비 3.40 — 보정 축은 해상도 축(0.485)과 다르게 환산된다. 위반 국면보정이 LB 에서 +57.65 였던 것(4-3)이 이 시즌 어긋남의 크기이고 그 몫을 합법으로 회수했다
11,2026-08-11,CatBoost + alpha 1.20,767.16,931.5328780442,4.42,19.12,4.33,yes,기울기 3점째. 2차식 정확 적합으로 최적 alpha=1.1941 확정 (잔여 +0.06) 및 평가 시즌 성공률 r=0.4609 역산. 기울기만 바꾼 점으로는 m 이 안 풀려 절편 탐침이 필요했다
12,2026-08-12,alpha 1.20 + 이동 -0.005 (절편 탐침),,934.101431079,,2.57,,yes,독립 4번째 식. 평가셋 완전 해 — m=0.473979 s=0.0438 cov=0.002119, 이동 0 일 때 잔여 편차 +0.0031. 근이 하나뿐이라 모호성 없음. 이야기 (i)(m=0.487, 예상 998) 기각. 최적 아핀 A*=1.10503 center=0.598664 -> 예상 942.46
13,2026-08-12,아핀 최적 A=1.105030 center=0.598664,,942.4577639361,,8.36,,yes,예측 942.457753 실측 942.457764 — 오차 +0.000011. 평가셋 모형이 정확하다 (clip 미접촉이면 오차식이 근사가 아니라 항등식). 이 아티팩트의 아핀 천장에 정확히 도달. 이후 점수 = 1e5*rho^2 이고 rho=0.097080 이므로 남은 것은 rho 뿐이다
14,2026-08-12,플래툰 편차 w=0.3904 + alpha 1.083674 (center 유지),797.61,940.1357117095,17.37,-2.32,-0.13,yes,두 가지를 동시에 틀렸다. (1) w 를 로컬 최적으로 골랐는데 신호는 로컬의 49% 만 전이됐다 — 평가셋 최적은 0.1990 이고 0.3904 는 두 배 오버슈팅. (2) alpha 만 바꾸고 center 를 유지해 절편 B=center(1-alpha) 가 어긋났다 (2.73점) + 기울기 오차 (0.35점). 이 점으로 cov(wf,y)=+0.00008571 역산됨 — 신호 자체는 진짜다 (c_fy=0 이었다면 871 이 나왔을 것)
15,2026-08-12,플래툰 w=0.199 + alpha 1.089306 center 0.620389,792.50,946.3826029949,12.26,6.25,0.51,yes,예상 946.50 실측 946.38 — 오차 0.12. 절편 조건을 A*m+B=r 로 다시 세운 것이 14회차 대비 핵심 수정. 두 관측점으로 플래툰 전이율 k=0.7685 와 lambda=0.9725 확정. 최적 w=0.1992 에서 946.40 이므로 플래툰 축 포화
